type,TrialNo,title,content,trialText,trialTextPos,stim1,stim2,stim3,stimFormat,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,random,randomBlock,key,feedbackCorrect,feedbackIncorrect,game,stim_type,offer
test,192,,,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB17,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,193,,,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB17,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,194,,,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB17,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,195,,,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB18,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,196,,,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB18,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,197,,,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB18,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,198,,,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB19,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,199,,,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB19,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,200,,,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB19,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,201,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,202,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,203,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
test,204,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,205,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,206,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
test,207,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,208,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,209,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
test,210,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,211,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,212,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
test,213,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,214,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,215,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
test,216,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,217,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,218,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
test,219,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,220,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,221,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
instructions,,Take a Break !,"Almost there! You only have a couple more minutes to complete the experimet. <br> Take a few seconds break and when you are ready to continue, press the button below. ",na,na,na,,,na,na,na,,,,,,,,,,na,na,,,,,,
test,222,,,<i>This person says: <br><br> <b>£90</b> for her <br><b>£10</b> for you,above,AF11NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,223,,,<i>This person says: <br><br> <b>£75</b> for her <br><b>£25</b> for you,above,AF11NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,224,,,<i>This person says: <br><br> <b>£60</b> for her <br><b>£40</b> for you,above,AF11NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,225,,,<i>This person says: <br><br> <b>£90</b> for her <br><b>£10</b> for you,above,AF12NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,226,,,<i>This person says: <br><br> <b>£75</b> for her <br><b>£25</b> for you,above,AF12NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,227,,,<i>This person says: <br><br> <b>£60</b> for her <br><b>£40</b> for you,above,AF12NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,228,,,<i>This person says: <br><br> <b>£90</b> for her <br><b>£10</b> for you,above,AF13NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,229,,,<i>This person says: <br><br> <b>£75</b> for her <br><b>£25</b> for you,above,AF13NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,230,,,<i>This person says: <br><br> <b>£60</b> for her <br><b>£40</b> for you,above,AF13NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,231,,,<i>This person says: <br><br> <b>£90</b> for him <br><b>£10</b> for you,above,AM10NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,232,,,<i>This person says: <br><br> <b>£75</b> for him <br><b>£25</b> for you,above,AM10NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,233,,,<i>This person says: <br><br> <b>£60</b> for him <br><b>£40</b> for you,above,AM10NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,234,,,<i>This person says: <br><br> <b>£90</b> for him <br><b>£10</b> for you,above,AM11NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,235,,,<i>This person says: <br><br> <b>£75</b> for him <br><b>£25</b> for you,above,AM11NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,236,,,<i>This person says: <br><br> <b>£60</b> for him <br><b>£40</b> for you,above,AM11NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,237,,,<i>This person says: <br><br> <b>£90</b> for him <br><b>£10</b> for you,above,AM12NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,1
test,238,,,<i>This person says: <br><br> <b>£75</b> for him <br><b>£25</b> for you,above,AM12NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,2
test,239,,,<i>This person says: <br><br> <b>£60</b> for him <br><b>£40</b> for you,above,AM12NES,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,human,3
test,240,,,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB20,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,241,,,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB20,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,242,,,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB20,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,243,,,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB21,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,244,,,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB21,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,245,,,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB21,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,246,,,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB22,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,247,,,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB22,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,248,,,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB22,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,249,,,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB23,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,250,,,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB23,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,251,,,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB23,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,252,,,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB24,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,253,,,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB24,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,254,,,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB24,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,255,,,<i>This brand says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AB25,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,1
test,256,,,<i>This brand says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AB25,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,2
test,257,,,<i>This brand says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AB25,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,brand,3
test,258,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,259,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,260,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
test,261,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,262,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,263,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
test,264,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,265,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,266,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
test,267,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,268,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,269,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
test,270,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,271,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,272,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
test,273,,,<i>The computer says: <br><br> <b>£90</b> for them <br><b>£10</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,1
test,274,,,<i>The computer says: <br><br> <b>£75</b> for them <br><b>£25</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,2
test,275,,,<i>The computer says: <br><br> <b>£60</b> for them <br><b>£40</b> for you,above,AC01,,,.jpg,Reject,Accept,,,,,,,,,,1,1,1,You have accepted the offer! The money is split as proposed by the Proposer,You have rejected the offer! You both get £0.,ultimatum,computer,3
instructions,na,Debrief,"<b>Experiment Complete!</b><br>In this study we asked you to rate faces and brands on a scale of trustworthiness and then interact with them in an Ultimatum Game. The experiment is part of an ongoing dissertation project where I am investigating individual’s brand perception in an economics setting.  <br><br> Click the link to view the debrief form and learn more information about the study you have just partaken in.  <a href=""https://gla-my.sharepoint.com/:w:/g/personal/2133292f_student_gla_ac_uk/EWDnOc1NDPdHhQgFsLmUbKgBs2zT2UxBlpDFdTuLSrOr1Q?e=GXF7K7"" target = ""_blank"">Copy of debrief</a>.<br><br> Please click the button below to terminate the experiment and view the completion code. Make sure you take note of the code if you wish to enter a raffle for a £20 Amazon Voucher and email it to Claudia: 2133292f@student.gla.ac.uk <br> Thank you once again for your participation, it is greatly appreciated. ",,,,,,,View Code,,,,,,,,,,,na,na,,,,,,
